source,target
Chg1_TongQuan,Chg2_DuAn
Chg2_DuAn,Chg3_PhanLoai

Chg1_TongQuan,1.1_KhaiNiem_ML
Chg1_TongQuan,1.2_TaiSao_ML
Chg1_TongQuan,1.3_CacLoaiHeThong
Chg1_TongQuan,1.4_ThachThuc_Chinh
Chg1_TongQuan,1.5_KiemThu_DanhGia
Chg1_TongQuan,1.6_ThucHanh_TongQuan

Chg2_DuAn,2.1_DuLieuThuc
Chg2_DuAn,2.2_BucTranhLon
Chg2_DuAn,2.3_LayDuLieu
Chg2_DuAn,2.9_ThucHanh_DuAn

2.3_LayDuLieu,2.4_KhamPha_TrucQuan
2.3_LayDuLieu,2.5_ChuanBi_DuLieu

2.5_ChuanBi_DuLieu,2.6_Chon_HuanLuyen_MoHinh
2.5_ChuanBi_DuLieu,2.7_TinhChinh_MoHinh
2.5_ChuanBi_DuLieu,2.8_TrienKhai_HeThong

Chg3_PhanLoai,3.1_MNIST
Chg3_PhanLoai,3.2_PhanLoai_NhiPhan

3.2_PhanLoai_NhiPhan,3.3_DoHieuQua_PhanLoai
3.2_PhanLoai_NhiPhan,3.5_PhanTich_Loi

3.3_DoHieuQua_PhanLoai,3.4_PhanLoai_DaLop
3.3_DoHieuQua_PhanLoai,3.6_PhanLoai_DaNhan
Chg3_PhanLoai,3.7_ThucHanh_PhanLoai

Chg3_PhanLoai,Chg4_HuanLuyen_MoHinh
Chg4_HuanLuyen_MoHinh,Chg5_SVM
Chg5_SVM,Chg6_CayQuyetDinh

Chg4_HuanLuyen_MoHinh,4.1_HoiQuy_TuyenTinh
Chg4_HuanLuyen_MoHinh,4.2_Gradient_Descent

4.1_HoiQuy_TuyenTinh,4.3_HoiQuy_DaThuc
4.3_HoiQuy_DaThuc,4.4_Learning_Curves
4.4_Learning_Curves,4.5_MoHinh_ChinhQuy
4.5_MoHinh_ChinhQuy,4.6_HoiQuy_Logistic
Chg4_HuanLuyen_MoHinh,4.7_ThucHanh_HuanLuyen

Chg5_SVM,5.1_SVM_TuyenTinh
5.1_SVM_TuyenTinh,5.2_SVM_PhiTuyen
5.2_SVM_PhiTuyen,5.3_SVM_HoiQuy
5.3_SVM_HoiQuy,5.4_CoChe_HoatDong
Chg5_SVM,5.5_ThucHanh_SVM

Chg6_CayQuyetDinh,6.1_HuanLuyen_TrucQuan
6.1_HuanLuyen_TrucQuan,6.2_DuDoan_XacSuat
6.2_DuDoan_XacSuat,6.3_ThuatToan_CART
6.3_ThuatToan_CART,6.4_Regularization_BatOn
Chg6_CayQuyetDinh,6.5_ThucHanh_CayQuyetDinh

Chg6_CayQuyetDinh,Chg7_Ensemble_Learning
Chg7_Ensemble_Learning,Chg8_GiamChieu_DuLieu
Chg8_GiamChieu_DuLieu,Chg9_Unsupervised

Chg7_Ensemble_Learning,7.1_BauChon_SoDong
7.1_BauChon_SoDong,7.2_Bagging_Pasting
7.2_Bagging_Pasting,7.3_Random_Forests
7.3_Random_Forests,7.4_Boosting
7.4_Boosting,7.5_Stacking
Chg7_Ensemble_Learning,7.6_ThucHanh_Ensemble

Chg8_GiamChieu_DuLieu,8.1_LoiNguyen_SoChieu
8.1_LoiNguyen_SoChieu,8.2_Chieu_Manifold
8.2_Chieu_Manifold,8.3_PCA
8.3_PCA,8.4_Kernel_PCA
8.3_PCA,8.5_LLE_Isomap
Chg8_GiamChieu_DuLieu,8.6_ThucHanh_GiamChieu

Chg9_Unsupervised,9.1_K_Means
9.1_K_Means,9.2_DBSCAN
9.1_K_Means,9.3_Gaussian_Mixtures
Chg9_Unsupervised,9.4_ThucHanh_Unsupervised

Chg9_Unsupervised,Chg10_Neural_Nets_Keras
Chg10_Neural_Nets_Keras,Chg11_HuanLuyen_DeepNet
Chg11_HuanLuyen_DeepNet,Chg12_TensorFlow_TuyChinh
Chg12_TensorFlow_TuyChinh,Chg13_XuLy_DuLieu_Lon

Chg10_Neural_Nets_Keras,10.1_Perceptron_LyThuyet
10.1_Perceptron_LyThuyet,10.2_MLP_Backprop
10.2_MLP_Backprop,10.3_Keras_Sequential
10.3_Keras_Sequential,10.4_Keras_Functional
Chg10_Neural_Nets_Keras,10.5_ThucHanh_Keras_Basic

Chg11_HuanLuyen_DeepNet,11.1_Vanishing_Exploding
11.1_Vanishing_Exploding,11.2_KhoiTao_HeSo
11.1_Vanishing_Exploding,11.3_Activation_Functions
11.1_Vanishing_Exploding,11.4_Batch_Normalization
11.4_Batch_Normalization,11.5_Optimizers_Adam
11.5_Optimizers_Adam,11.6_Regularization_Dropout
Chg11_HuanLuyen_DeepNet,11.7_ThucHanh_DeepNet

Chg12_TensorFlow_TuyChinh,12.1_Tensor_Operations
12.1_Tensor_Operations,12.2_Custom_Layers_Models
12.2_Custom_Layers_Models,12.3_Custom_Training_Loop
Chg12_TensorFlow_TuyChinh,12.4_ThucHanh_CustomTF

Chg13_XuLy_DuLieu_Lon,13.1_TF_Data_API
13.1_TF_Data_API,13.2_TFRecord_Format
13.1_TF_Data_API,13.3_Keras_Preprocessing_Layers
Chg13_XuLy_DuLieu_Lon,13.4_ThucHanh_DataAPI

Chg13_XuLy_DuLieu_Lon,Chg14_Computer_Vision
Chg14_Computer_Vision,Chg15_XuLy_Chuoi_RNN
Chg15_XuLy_Chuoi_RNN,Chg16_NLP_Transformer

Chg14_Computer_Vision,14.1_KienTruc_ThiGiac
14.1_KienTruc_ThiGiac,14.2_Lop_TichChap_Pooling
14.2_Lop_TichChap_Pooling,14.3_KienTruc_CNN_KinhDien
14.3_KienTruc_CNN_KinhDien,14.4_PhanLoai_DinhVi
14.4_PhanLoai_DinhVi,14.5_PhatHien_VatThe_YOLO
14.5_PhatHien_VatThe_YOLO,14.6_PhanDoan_Anh
Chg14_Computer_Vision,14.7_ThucHanh_CNN

Chg15_XuLy_Chuoi_RNN,15.1_Mang_RNN_CoBan
15.1_Mang_RNN_CoBan,15.2_HuanLuyen_RNN
15.2_HuanLuyen_RNN,15.3_DuBao_ThoiGian
15.3_DuBao_ThoiGian,15.4_LSTM_GRU
Chg15_XuLy_Chuoi_RNN,15.5_ThucHanh_RNN

Chg16_NLP_Transformer,16.1_Word_Embeddings
16.1_Word_Embeddings,16.2_Encoder_Decoder
16.2_Encoder_Decoder,16.3_Attention_Is_All_You_Need
16.3_Attention_Is_All_You_Need,16.4_BERT_GPT_HuggingFace
Chg16_NLP_Transformer,16.5_ThucHanh_NLP

Chg16_NLP_Transformer,Chg17_Generative_AI
Chg17_Generative_AI,Chg18_Reinforcement_Learning
Chg18_Reinforcement_Learning,Chg19_Deployment_Scale

Chg17_Generative_AI,17.1_Autoencoders_BieuDien
