question_id,content,options,answer,skill_id_list,difficulty
Chg1_Q1_MCQ,"Học máy (Machine Learning) là gì?","[""A. Khoa học (và nghệ thuật) lập trình máy tính để chúng có thể học từ dữ liệu."", ""B. Việc tạo ra các robot có hình dáng giống con người."", ""C. Lập trình máy tính để thực hiện các tác vụ cụ thể mà không cần dữ liệu."", ""D. Một loại phần cứng máy tính mới.""]",A,"[""1.1_KhaiNiem_ML""]",easy
Chg1_Q2_MCQ,"Tại sao Machine Learning ngày càng trở nên phổ biến hiện nay?","[""A. Vì ổ cứng ngày càng rẻ."", ""B. Vì dữ liệu lớn (Big Data) và năng lực tính toán tăng mạnh."", ""C. Vì lập trình truyền thống đã lỗi thời."", ""D. Vì nó không cần con người can thiệp.""]",B,"[""1.2_TaiSao_ML""]",easy
Chg1_Q3_MCQ,"Trong 'Học có giám sát' (Supervised Learning), dữ liệu huấn luyện bao gồm những gì?","[""A. Chỉ các đặc trưng (features) đầu vào, không có nhãn."", ""B. Các đặc trưng (features) và nhãn (labels) mong muốn."", ""C. Chỉ các nhãn (labels), không có đặc trưng."", ""D. Dữ liệu ngẫu nhiên không có cấu trúc.""]",B,"[""1.3_CacLoaiHeThong""]",easy
Chg1_Q4_MCQ,"Thuật toán phân cụm (Clustering) thuộc loại hệ thống học máy nào?","[""A. Học có giám sát (Supervised Learning)."", ""B. Học không giám sát (Unsupervised Learning)."", ""C. Học tăng cường (Reinforcement Learning)."", ""D. Học bán giám sát (Semi-supervised Learning).""]",B,"[""1.3_CacLoaiHeThong""]",medium
Chg1_Q5_MCQ,"Vấn đề 'Overfitting' (Quá khớp) trong mô hình học máy là gì?","[""A. Mô hình quá đơn giản để nắm bắt cấu trúc dữ liệu."", ""B. Mô hình hoạt động tốt trên tập kiểm tra nhưng kém trên tập huấn luyện."", ""C. Mô hình hoạt động rất tốt trên dữ liệu huấn luyện nhưng không tổng quát hóa tốt trên dữ liệu mới."", ""D. Mô hình có quá ít tham số.""]",C,"[""1.4_ThachThuc_Chinh""]",medium
Chg1_Q6_MCQ,"Điều gì xảy ra khi dữ liệu huấn luyện quá ít hoặc không đại diện cho tổng thể (Sampling Bias)?","[""A. Mô hình sẽ học nhanh hơn."", ""B. Mô hình dự đoán sai lệch và thiếu chính xác trên thực tế."", ""C. Không ảnh hưởng gì nếu dùng thuật toán tốt."", ""D. Mô hình sẽ tự động sinh ra dữ liệu mới.""]",B,"[""1.4_ThachThuc_Chinh""]",medium
Chg1_Q7_MCQ,"Tập dữ liệu kiểm tra (Test set) được sử dụng để làm gì?","[""A. Để huấn luyện mô hình."", ""B. Để tinh chỉnh các siêu tham số (hyperparameters)."", ""C. Để ước tính sai số tổng quát hóa (generalization error) của mô hình cuối cùng."", ""D. Để loại bỏ nhiễu khỏi dữ liệu.""]",C,"[""1.5_KiemThu_DanhGia""]",medium
Chg1_Q8_MCQ,"Mục đích chính của tập xác thực (Validation set) là gì?","[""A. Để đánh giá hiệu suất cuối cùng của mô hình."", ""B. Để so sánh các mô hình khác nhau và tinh chỉnh siêu tham số."", ""C. Để thay thế tập huấn luyện."", ""D. Để lưu trữ dữ liệu dự phòng.""]",B,"[""1.5_KiemThu_DanhGia""]",hard

Chg1_Q9_MCQ,"Học tăng cường (Reinforcement Learning) hoạt động dựa trên cơ chế nào?","[""A. Học từ dữ liệu được gán nhãn chi tiết bởi con người."", ""B. Một tác tử (agent) quan sát môi trường, hành động và nhận thưởng (reward) hoặc phạt (penalty)."", ""C. Phân nhóm dữ liệu dựa trên sự tương đồng mà không cần nhãn."", ""D. Dự đoán giá trị liên tục dựa trên các đặc trưng đầu vào.""]",B,"[""1.3_CacLoaiHeThong""]",medium
Chg1_Q10_MCQ,"Sự khác biệt chính giữa 'Học theo lô' (Batch Learning) và 'Học trực tuyến' (Online Learning) là gì?","[""A. Batch Learning có thể học ngay lập tức khi có dữ liệu mới, còn Online Learning thì không."", ""B. Batch Learning huấn luyện trên toàn bộ dữ liệu có sẵn cùng lúc, trong khi Online Learning huấn luyện dần dần từng mẫu nhỏ."", ""C. Batch Learning dành cho mạng nơ-ron, Online Learning dành cho hồi quy tuyến tính."", ""D. Online Learning không cần dữ liệu.""]",B,"[""1.3_CacLoaiHeThong""]",medium
Chg1_Q11_MCQ,"Học bán giám sát (Semi-supervised Learning) thường được áp dụng khi nào?","[""A. Khi có rất nhiều dữ liệu được gán nhãn."", ""B. Khi hoàn toàn không có dữ liệu nào được gán nhãn."", ""C. Khi có nhiều dữ liệu không nhãn nhưng chỉ có một ít dữ liệu được gán nhãn."", ""D. Khi cần huấn luyện robot chơi game.""]",C,"[""1.3_CacLoaiHeThong""]",medium
Chg1_Q12_MCQ,"Hệ thống lọc thư rác (Spam Filter) là ví dụ điển hình của loại học máy nào?","[""A. Học có giám sát (Supervised Learning - Phân loại)."", ""B. Học có giám sát (Supervised Learning - Hồi quy)."", ""C. Học không giám sát (Unsupervised Learning)."", ""D. Học tăng cường (Reinforcement Learning).""]",A,"[""1.3_CacLoaiHeThong""]",easy
Chg1_Q13_MCQ,"Học dựa trên trường hợp (Instance-based learning) dự đoán dữ liệu mới như thế nào?","[""A. Bằng cách tìm ra một công thức toán học tổng quát cho toàn bộ dữ liệu."", ""B. Bằng cách ghi nhớ các mẫu huấn luyện và so sánh mức độ tương đồng của dữ liệu mới với chúng."", ""C. Bằng cách xây dựng cây quyết định."", ""D. Bằng cách tối ưu hóa hàm mất mát.""]",B,"[""1.3_CacLoaiHeThong""]",hard
Chg1_Q14_MCQ,"Vấn đề 'Underfitting' (Chưa khớp/Thiếu khớp) xảy ra khi nào?","[""A. Khi mô hình quá phức tạp so với dữ liệu."", ""B. Khi mô hình quá đơn giản để nắm bắt cấu trúc cơ bản của dữ liệu."", ""C. Khi dữ liệu có quá nhiều nhiễu."", ""D. Khi tập kiểm tra quá nhỏ.""]",B,"[""1.4_ThachThuc_Chinh""]",medium
Chg1_Q15_MCQ,"Cách nào sau đây KHÔNG giúp giảm thiểu vấn đề Overfitting?","[""A. Thu thập thêm dữ liệu huấn luyện."", ""B. Giảm bớt độ phức tạp của mô hình (ví dụ: giảm bậc đa thức)."", ""C. Sử dụng các kỹ thuật Regularization (Điều chuẩn)."", ""D. Làm cho mô hình phức tạp hơn với nhiều tham số hơn.""]",D,"[""1.4_ThachThuc_Chinh""]",medium
Chg1_Q16_MCQ,"Nếu mô hình của bạn hoạt động kém trên cả tập huấn luyện và tập kiểm tra, khả năng cao nó đang gặp vấn đề gì?","[""A. Overfitting."", ""B. Underfitting."", ""C. Data Mismatch."", ""D. High Variance.""]",B,"[""1.4_ThachThuc_Chinh""]",medium
Chg1_Q17_MCQ,"Kỹ thuật Feature Engineering (Kỹ thuật đặc trưng) bao gồm các hoạt động nào?","[""A. Chỉ thu thập dữ liệu thô."", ""B. Lựa chọn đặc trưng, trích xuất đặc trưng và tạo ra đặc trưng mới hữu ích hơn."", ""C. Xóa bỏ toàn bộ dữ liệu thiếu."", ""D. Tăng kích thước ổ cứng lưu trữ.""]",B,"[""1.4_ThachThuc_Chinh""]",hard
Chg1_Q18_MCQ,"Định lý 'No Free Lunch' (Không có bữa trưa miễn phí) trong Machine Learning ngụ ý điều gì?","[""A. Mọi phần mềm ML đều phải trả phí."", ""B. Không có mô hình nào là tốt nhất cho mọi bài toán; ta phải thử nghiệm và đánh giá."", ""C. Dữ liệu luôn tốn kém để thu thập."", ""D. Luôn luôn có một thuật toán giải quyết được mọi vấn đề.""]",B,"[""1.5_KiemThu_DanhGia""]",hard

Chg1_Q19_MCQ,"Mục tiêu chính của thuật toán 'Giảm chiều dữ liệu' (Dimensionality Reduction) là gì?","[""A. Để tăng số lượng đặc trưng nhằm làm mô hình phức tạp hơn."", ""B. Để nén dữ liệu, giảm dung lượng lưu trữ và giúp mô hình chạy nhanh hơn mà vẫn giữ được thông tin quan trọng."", ""C. Để biến đổi dữ liệu số thành dữ liệu chữ."", ""D. Để tạo ra nhiều dữ liệu giả lập hơn.""]",B,"[""1.3_CacLoaiHeThong""]",medium
Chg1_Q20_MCQ,"Phát hiện bất thường (Anomaly Detection) thường được ứng dụng trong trường hợp nào?","[""A. Dự đoán giá nhà."", ""B. Phân loại ảnh chó mèo."", ""C. Phát hiện gian lận thẻ tín dụng hoặc lỗi sản phẩm trong dây chuyền sản xuất."", ""D. Gợi ý phim trên Netflix.""]",C,"[""1.3_CacLoaiHeThong""]",easy
Chg1_Q21_MCQ,"Trong Học trực tuyến (Online Learning), tham số 'Tốc độ học' (Learning Rate) quyết định điều gì?","[""A. Tốc độ tải dữ liệu từ Internet."", ""B. Mức độ nhanh chóng mà mô hình thích nghi với dữ liệu mới và quên đi dữ liệu cũ."", ""C. Số lượng server cần thiết để chạy mô hình."", ""D. Độ chính xác tối đa của mô hình.""]",B,"[""1.3_CacLoaiHeThong""]",hard
Chg1_Q22_MCQ,"Học kết hợp (Association Rule Learning) thường được sử dụng để làm gì?","[""A. Phân tích giỏ hàng (Market Basket Analysis) để tìm ra các sản phẩm hay được mua cùng nhau."", ""B. Phân loại khách hàng thành các nhóm."", ""C. Dự báo doanh thu tháng sau."", ""D. Nhận diện khuôn mặt.""]",A,"[""1.3_CacLoaiHeThong""]",medium
Chg1_Q23_MCQ,"Kỹ thuật 'Out-of-core learning' giải quyết vấn đề gì?","[""A. Khi CPU quá nóng."", ""B. Khi dữ liệu quá lớn không thể chứa hết trong bộ nhớ RAM (RAM), cần chia nhỏ để huấn luyện dần."", ""C. Khi không có kết nối Internet."", ""D. Khi ổ cứng bị đầy.""]",B,"[""1.3_CacLoaiHeThong""]",hard
Chg1_Q24_MCQ,"Sự khác biệt giữa 'Siêu tham số' (Hyperparameter) và 'Tham số mô hình' (Model Parameter) là gì?","[""A. Không có sự khác biệt."", ""B. Tham số mô hình do người dùng cài đặt trước, siêu tham số do máy tự học."", ""C. Siêu tham số là cấu hình của thuật toán (đặt trước khi huấn luyện), còn tham số mô hình được sinh ra từ dữ liệu trong quá trình huấn luyện."", ""D. Siêu tham số luôn là số nguyên, tham số mô hình là số thực.""]",C,"[""1.5_KiemThu_DanhGia""]",hard
Chg1_Q25_MCQ,"Trong mô hình dựa trên mô hình (Model-based learning), 'Hàm chi phí' (Cost Function) dùng để làm gì?","[""A. Tính toán số tiền điện tiêu thụ."", ""B. Đo lường khoảng cách giữa dự đoán của mô hình và thực tế (sai số), mục tiêu là tối thiểu hóa hàm này."", ""C. Đo lường độ hữu dụng của mô hình."", ""D. Đếm số lượng dữ liệu đầu vào.""]",B,"[""1.3_CacLoaiHeThong""]",medium
Chg1_Q26_MCQ,"Bộ dữ liệu 'Train-Dev Set' (khác với Validation Set) được sử dụng để phát hiện vấn đề gì?","[""A. Overfitting trên tập huấn luyện."", ""B. Data Mismatch (Sự sai lệch dữ liệu) giữa tập huấn luyện và dữ liệu thực tế/production."", ""C. Lỗi phần mềm."", ""D. Tốc độ huấn luyện chậm.""]",B,"[""1.5_KiemThu_DanhGia""]",hard
Chg1_Q27_MCQ,"Nếu dữ liệu chứa nhiều đặc trưng không liên quan (Irrelevant Features), giải pháp tốt nhất là gì?","[""A. Thu thập thêm nhiều dữ liệu nữa."", ""B. Sử dụng thuật toán phức tạp hơn."", ""C. Thực hiện lựa chọn đặc trưng (Feature Selection) để loại bỏ nhiễu."", ""D. Tăng Learning Rate.""]",C,"[""1.4_ThachThuc_Chinh""]",medium
Chg1_Q28_MCQ,"Quy trình 'Cross-Validation' (Kiểm chứng chéo) giúp ích gì so với việc chỉ chia 1 tập Train/Test duy nhất?","[""A. Tiết kiệm thời gian tính toán."", ""B. Tận dụng tối đa dữ liệu để đánh giá mô hình tin cậy hơn, tránh việc kết quả phụ thuộc vào cách chia dữ liệu ngẫu nhiên."", ""C. Làm cho mô hình chạy nhanh hơn."", ""D. Không cần tập kiểm tra (Test set) nữa.""]",B,"[""1.5_KiemThu_DanhGia""]",hard

Chg1_Q29_MCQ,"Tình huống: Bạn xây dựng một mô hình dự đoán giá nhà cho cả nước, nhưng dữ liệu huấn luyện chỉ thu thập từ các thành phố lớn. Khi áp dụng cho vùng nông thôn, mô hình dự đoán sai lệch lớn. Đây là ví dụ của vấn đề gì?","[""A. Overfitting (Quá khớp)."", ""B. Sampling Bias (Thiên kiến lấy mẫu) / Dữ liệu không đại diện."", ""C. Underfitting (Thiếu khớp)."", ""D. Lỗi phần cứng.""]",B,"[""1.4_ThachThuc_Chinh""]",medium
Chg1_Q30_MCQ,"Tình huống: Biểu đồ Learning Curve cho thấy sai số trên tập huấn luyện (Training Error) cao và sai số trên tập kiểm tra (Validation Error) cũng cao tương đương. Bạn nên làm gì?","[""A. Thu thập thêm dữ liệu."", ""B. Sử dụng mô hình phức tạp hơn hoặc tìm thêm các đặc trưng tốt hơn (vì mô hình đang bị Underfitting)."", ""C. Giảm độ phức tạp của mô hình."", ""D. Dừng huấn luyện ngay lập tức.""]",B,"[""1.4_ThachThuc_Chinh""]",hard
Chg1_Q31_MCQ,"Tình huống: Bạn đang huấn luyện mô hình phân loại ảnh. Độ chính xác trên tập Train là 99%, nhưng trên tập Test chỉ đạt 60%. Giải pháp nào sau đây là hợp lý nhất?","[""A. Tiếp tục huấn luyện lâu hơn nữa."", ""B. Áp dụng Regularization (Điều chuẩn), giảm bớt số lượng đặc trưng hoặc thu thập thêm dữ liệu đa dạng hơn."", ""C. Sử dụng mô hình đơn giản hơn nữa."", ""D. Kiểm tra lại nhãn của dữ liệu Test.""]",B,"[""1.5_KiemThu_DanhGia""]",medium
Chg1_Q32_MCQ,"Tình huống: Bạn muốn nhóm các bài báo trên trang tin tức thành các chủ đề tự động (Thể thao, Chính trị,...) nhưng không có nhãn dữ liệu từ trước. Bạn sẽ chọn thuật toán nào?","[""A. Hồi quy tuyến tính (Linear Regression)."", ""B. Phân cụm (Clustering) - Ví dụ: K-Means."", ""C. Cây quyết định (Decision Tree)."", ""D. Học tăng cường (Reinforcement Learning).""]",B,"[""1.3_CacLoaiHeThong""]",medium
Chg1_Q33_MCQ,"Tình huống: Hệ thống dự báo chứng khoán của bạn cần cập nhật liên tục theo từng giây khi có giao dịch mới phát sinh. Chiến lược học nào phù hợp nhất?","[""A. Batch Learning (Học theo lô) - Chạy lại mỗi đêm."", ""B. Online Learning (Học trực tuyến)."", ""C. Offline Learning."", ""D. Transfer Learning.""]",B,"[""1.3_CacLoaiHeThong""]",easy
Chg1_Q34_MCQ,"Tình huống: Bạn có dữ liệu về cảm biến máy móc (nhiệt độ, độ rung...). Đa số dữ liệu là bình thường, thi thoảng mới có sự cố. Bạn muốn máy tự phát hiện khi có sự cố lạ. Đây là bài toán gì?","[""A. Supervised Learning (Phân loại)."", ""B. Anomaly Detection (Phát hiện bất thường) - Unsupervised."", ""C. Regression (Hồi quy)."", ""D. Clustering (Phân cụm).""]",B,"[""1.3_CacLoaiHeThong""]",hard
Chg1_Q35_MCQ,"Tình huống: Bạn huấn luyện mô hình nhận diện giọng nói. Dữ liệu Train lấy từ giọng đọc trong phòng thu (rất sạch), nhưng ứng dụng thực tế dùng trên điện thoại ngoài đường (nhiều tạp âm). Mô hình hoạt động rất tệ. Vấn đề nằm ở đâu?","[""A. Do thuật toán sai."", ""B. Data Mismatch (Sự sai lệch giữa dữ liệu huấn luyện và dữ liệu thực tế)."", ""C. Do Overfitting."", ""D. Do Underfitting.""]",B,"[""1.5_KiemThu_DanhGia""]",medium
Chg1_Q36_MCQ,"Ứng dụng thực tế: Để xây dựng hệ thống gợi ý sản phẩm (Recommender System) như Amazon hay Netflix, người ta thường KHÔNG sử dụng phương pháp nào sau đây?","[""A. Học có giám sát (Supervised Learning) để dự đoán rating."", ""B. Học không giám sát (Unsupervised) để tìm nhóm khách hàng tương đồng."", ""C. Hồi quy tuyến tính đơn biến để dự đoán tất cả."", ""D. Matrix Factorization (Phân rã ma trận).""]",C,"[""1.2_TaiSao_ML""]",hard
Chg1_Q37_MCQ,"Khi nào bạn nên sử dụng 'Học theo lô' (Batch Learning) thay vì 'Học trực tuyến'?","[""A. Khi dữ liệu quá lớn không thể chứa trong ổ cứng."", ""B. Khi tài nguyên tính toán hạn chế và cần mô hình nhẹ."", ""C. Khi dữ liệu ổn định, ít thay đổi theo thời gian và bạn có đủ tài nguyên để huấn luyện lại toàn bộ định kỳ."", ""D. Khi cần mô hình thích nghi ngay lập tức.""]",C,"[""1.3_CacLoaiHeThong""]",medium

