source,target
Chg1_TongQuan,Chg2_HaTang
Chg2_HaTang,Chg3_KhachHang

Chg1_TongQuan,1.1_DinhNghia_EC_EB
Chg1_TongQuan,1.2_KhacBiet_EC_TT
Chg1_TongQuan,1.3_CacMoHinhCoBan
Chg1_TongQuan,1.4_LoiIch_HanChe
Chg1_TongQuan,1.5_NhanToThanhCong

1.1_DinhNghia_EC_EB,1.2_KhacBiet_EC_TT
1.2_KhacBiet_EC_TT,1.3_CacMoHinhCoBan
1.3_CacMoHinhCoBan,1.4_LoiIch_HanChe
1.4_LoiIch_HanChe,1.5_NhanToThanhCong

Chg2_HaTang,2.1_HaTangMang
Chg2_HaTang,2.2_WebsiteTMDT
Chg2_HaTang,2.3_PhapLy
Chg2_HaTang,2.4_ChuKyDienTu

2.1_HaTangMang,2.2_WebsiteTMDT
2.2_WebsiteTMDT,2.3_PhapLy
2.3_PhapLy,2.4_ChuKyDienTu
