source,target
Mon_TriTueNhanTao_UngDung,Mod1_KhaiThac_DuLieu
Mon_TriTueNhanTao_UngDung,Mod2_GiaoTiep_HopTac
Mon_TriTueNhanTao_UngDung,Mod3_SangTao_NoiDung
Mon_TriTueNhanTao_UngDung,Mod4_AnToan
Mon_TriTueNhanTao_UngDung,Mod5_GiaiQuyet_VanDe
Mon_TriTueNhanTao_UngDung,Mod6_UngDung_AI_CoBan
Mon_TriTueNhanTao_UngDung,Mod7_AI_Trong_Word
Mon_TriTueNhanTao_UngDung,Mod8_AI_Trong_Excel
Mon_TriTueNhanTao_UngDung,Mod9_AI_Trong_PowerPoint

Mod1_KhaiThac_DuLieu,1.1_Duyet_TimKiem_Loc
Mod1_KhaiThac_DuLieu,1.2_DanhGia_DuLieu
Mod1_KhaiThac_DuLieu,1.3_QuanLy_DuLieu

1.1_Duyet_TimKiem_Loc,1.1.1_KhaiNiem_DuLieu_ThongTin
1.1_Duyet_TimKiem_Loc,1.1.2_PhanLoai_DuLieu
1.1_Duyet_TimKiem_Loc,1.1.3_DacDiem_DuLieuSo
1.1_Duyet_TimKiem_Loc,1.1.4_KyNang_DocLuot
1.1_Duyet_TimKiem_Loc,1.1.5_ChienLuoc_DuyetWeb
1.1_Duyet_TimKiem_Loc,1.1.6_TimKiem_NangCao
1.1_Duyet_TimKiem_Loc,1.1.7_Web_Scraping

1.2_DanhGia_DuLieu,1.2.1_TinThat_TinGia
1.2_DanhGia_DuLieu,1.2.2_MoHinh_DanhGia_CRAAP
1.2_DanhGia_DuLieu,1.2.3_PhuongPhap_SIFT
1.2_DanhGia_DuLieu,1.2.4_KiemTra_Cheo
1.2_DanhGia_DuLieu,1.2.5_PhanTich_LamSach_DuLieu
1.2_DanhGia_DuLieu,1.2.6_AI_KiemTra_TinCay

1.3_QuanLy_DuLieu,1.3.1_QuyTac_DatTen_File
1.3_QuanLy_DuLieu,1.3.2_ChuTrinh_QuanLy
1.3_QuanLy_DuLieu,1.3.3_CongCu_QuanLy_Cloud
1.3_QuanLy_DuLieu,1.3.4_ChienLuoc_SaoLuu_321
1.3_QuanLy_DuLieu,1.3.5_BaoMat_ThongTin
1.3_QuanLy_DuLieu,1.3.6_ChiaSe_PhanQuyen

Mod2_GiaoTiep_HopTac,2.1_TuongTac_CongNgheSo
Mod2_GiaoTiep_HopTac,2.2_ChiaSe_ThongTin
Mod2_GiaoTiep_HopTac,2.3_TrachNhiem_CongDan
Mod2_GiaoTiep_HopTac,2.4_HopTac_CongNgheSo
